CONTROL,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building
INTERVAL,Apt 14 N,Apt 14 O,Apt 14 Q,Apt 14P,Apt 14R,Apt 18A,Apt 18E,Apt 18I,OUTDOOR SENSOR,System Temp MB
12/8/2012 0:00,76,77,66,73,77,75,72,76,44,132
12/8/2012 0:05,76,77,66,73,77,75,72,76,44,132
12/8/2012 0:10,76,77,66,73,77,75,72,76,44,131
12/8/2012 0:15,76,77,66,73,77,75,72,76,44,131
12/8/2012 0:20,76,77,66,73,77,75,72,76,44,130
12/8/2012 0:25,76,77,66,73,77,75,72,76,44,130
12/8/2012 0:30,76,77,66,73,77,75,73,76,44,129
12/8/2012 0:35,76,77,66,73,77,75,73,76,44,129
12/8/2012 0:40,76,77,66,73,77,75,73,76,44,129
12/8/2012 0:45,76,77,66,73,77,75,73,76,44,130
12/8/2012 0:50,76,77,66,73,77,75,73,76,44,130
12/8/2012 0:55,76,77,66,73,77,75,73,76,44,131
12/8/2012 1:00,76,77,66,73,77,75,73,76,44,132
12/8/2012 1:05,76,77,66,73,77,75,73,76,44,133
12/8/2012 1:10,76,77,66,73,77,75,73,76,44,134
12/8/2012 1:15,76,77,66,73,77,75,73,76,44,135
12/8/2012 1:20,76,77,66,73,77,75,73,76,44,135
12/8/2012 1:25,76,77,66,73,77,75,73,76,44,138
12/8/2012 1:30,76,77,66,73,77,75,73,76,44,138
12/8/2012 1:35,76,77,66,73,77,75,73,76,44,139
12/8/2012 1:40,76,77,66,73,77,75,73,76,44,139
12/8/2012 1:45,76,77,66,73,77,75,73,76,44,139
12/8/2012 1:50,76,77,66,73,77,75,73,76,44,139
12/8/2012 1:55,76,77,66,73,77,75,73,76,44,138
12/8/2012 2:00,76,77,66,73,77,75,73,76,44,138
12/8/2012 2:05,76,77,66,73,77,75,73,76,44,136
12/8/2012 2:10,76,77,66,73,77,75,73,76,44,135
12/8/2012 2:15,76,77,66,73,77,75,73,76,44,134
12/8/2012 2:20,76,77,66,73,77,75,73,76,44,134
12/8/2012 2:25,76,77,66,73,77,75,73,76,44,133
12/8/2012 2:30,76,77,66,73,77,75,73,76,44,132
12/8/2012 2:35,76,77,66,73,77,75,73,76,44,131
12/8/2012 2:40,76,77,66,73,77,75,73,76,44,131
12/8/2012 2:45,76,77,66,73,77,75,73,76,44,130
12/8/2012 2:50,76,77,66,72,77,75,73,76,44,129
12/8/2012 2:55,76,77,66,72,77,75,73,76,44,129
12/8/2012 3:00,76,77,66,72,77,75,73,76,44,128
12/8/2012 3:05,76,77,66,72,77,75,73,76,44,128
12/8/2012 3:10,76,77,66,72,77,75,73,76,44,128
12/8/2012 3:15,76,77,66,72,77,75,73,76,44,129
12/8/2012 3:20,76,77,66,72,77,75,73,76,44,129
12/8/2012 3:25,76,77,66,72,77,75,73,76,44,130
12/8/2012 3:30,76,77,66,72,77,74,73,76,44,131
12/8/2012 3:35,76,77,66,72,77,74,73,76,44,132
12/8/2012 3:40,76,77,66,72,77,74,74,76,44,133
12/8/2012 3:45,76,77,66,72,77,74,74,76,44,134
12/8/2012 3:50,76,77,66,72,77,74,74,76,44,135
12/8/2012 3:55,76,77,66,72,77,74,74,76,44,136
12/8/2012 4:00,76,77,66,72,77,74,74,76,44,138
12/8/2012 4:05,76,77,66,72,77,74,74,76,44,138
12/8/2012 4:10,76,77,66,72,77,74,74,76,44,139
