CONTROL,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building
INTERVAL,Apt 14 N,Apt 14 O,Apt 14 Q,Apt 14P,Apt 14R,Apt 18A,Apt 18E,Apt 18I,OUTDOOR SENSOR,System Temp MB
12/2/2012 0:00,80,78,67,76,80,75,74,78,41,140
12/2/2012 0:05,80,78,67,76,80,75,74,78,41,141
12/2/2012 0:10,80,78,67,75,80,75,74,78,41,141
12/2/2012 0:15,80,78,67,75,80,75,74,78,41,142
12/2/2012 0:20,80,78,67,75,80,75,74,78,41,145
12/2/2012 0:25,80,78,67,75,80,75,74,78,41,146
12/2/2012 0:30,80,78,67,75,80,76,74,78,41,146
12/2/2012 0:35,80,78,67,75,80,76,74,78,41,147
12/2/2012 0:40,80,79,67,75,80,76,74,78,41,146
12/2/2012 0:45,80,79,67,75,80,76,74,78,41,146
12/2/2012 0:50,80,79,67,75,80,76,74,78,41,145
12/2/2012 0:55,80,79,67,75,80,76,74,78,41,144
12/2/2012 1:00,80,79,67,75,80,76,74,78,41,142
12/2/2012 1:05,80,79,67,75,80,76,74,78,41,141
12/2/2012 1:10,80,79,67,75,80,76,74,78,41,140
12/2/2012 1:15,80,79,67,75,80,76,74,78,41,140
12/2/2012 1:20,80,79,67,75,80,76,74,78,41,139
12/2/2012 1:25,80,79,67,75,80,76,74,78,42,138
12/2/2012 1:30,80,79,67,75,80,76,74,78,42,136
12/2/2012 1:35,80,79,67,75,80,76,74,78,42,135
12/2/2012 1:40,80,79,67,74,80,76,74,78,41,135
12/2/2012 1:45,80,79,67,74,80,76,74,78,41,134
12/2/2012 1:50,80,79,67,74,80,76,74,78,41,133
12/2/2012 1:55,80,78,67,74,80,76,74,78,42,133
12/2/2012 2:00,80,78,67,74,80,76,74,78,42,133
12/2/2012 2:05,80,78,67,74,80,76,74,78,42,134
12/2/2012 2:10,80,78,67,74,80,76,74,78,42,135
12/2/2012 2:15,80,78,67,74,80,75,74,78,42,135
12/2/2012 2:20,80,78,67,74,80,75,74,78,42,136
12/2/2012 2:25,80,78,67,74,80,75,74,78,42,138
12/2/2012 2:30,80,78,67,74,80,75,74,78,42,139
12/2/2012 2:35,80,78,67,74,80,75,74,78,42,139
12/2/2012 2:40,80,78,67,74,80,75,74,78,42,140
12/2/2012 2:45,80,78,67,74,80,75,74,78,42,140
12/2/2012 2:50,80,78,67,74,80,75,74,78,42,141
12/2/2012 2:55,80,79,67,74,80,75,74,78,42,141
12/2/2012 3:00,80,79,67,74,80,76,74,78,42,142
12/2/2012 3:05,80,79,67,74,80,76,74,78,42,142
12/2/2012 3:10,80,79,67,74,80,76,74,78,42,144
12/2/2012 3:15,80,79,67,74,80,76,74,78,42,145
12/2/2012 3:20,80,79,67,74,80,76,74,78,42,145
12/2/2012 3:25,80,79,67,74,80,76,74,78,42,146
12/2/2012 3:30,80,79,67,74,80,76,74,78,42,146
12/2/2012 3:35,80,79,67,74,80,76,74,78,42,146
12/2/2012 3:40,80,79,67,74,80,76,74,78,42,146
12/2/2012 3:45,80,79,67,74,80,76,74,78,42,146
12/2/2012 3:50,80,79,67,74,80,76,74,78,42,145
12/2/2012 3:55,80,79,67,74,80,76,74,78,42,145
12/2/2012 4:00,80,79,67,74,80,76,74,78,42,142
12/2/2012 4:05,80,79,67,74,80,76,74,78,42,141
12/2/2012 4:10,80,79,67,74,80,76,74,78,42,141
12/2/2012 4:15,80,79,67,74,80,76,74,78,42,140
12/2/2012 4:20,79,79,67,74,80,76,74,78,42,139
12/2/2012 4:25,79,79,67,74,80,76,74,78,42,138
12/2/2012 4:30,79,79,67,74,80,76,74,78,42,138
12/2/2012 4:35,79,79,67,74,80,76,74,78,42,136
12/2/2012 4:40,79,79,67,74,80,76,74,78,42,135
12/2/2012 4:45,79,79,67,74,80,76,74,78,42,134
12/2/2012 4:50,79,79,67,74,80,76,74,78,42,133
12/2/2012 4:55,79,79,67,74,80,76,74,78,42,133
12/2/2012 5:00,79,79,67,74,80,76,74,78,42,133
12/2/2012 5:05,79,79,67,74,80,76,74,78,42,133
12/2/2012 5:10,79,78,67,74,80,76,74,78,42,134
12/2/2012 5:15,79,78,67,74,80,76,74,78,42,134
12/2/2012 5:20,79,78,67,73,80,76,74,78,42,135
12/2/2012 5:25,79,78,67,73,80,76,74,78,42,136
12/2/2012 5:30,79,78,67,73,80,75,74,78,42,138
12/2/2012 5:35,79,78,67,73,80,75,74,78,42,139
12/2/2012 5:40,79,78,67,73,80,75,74,78,42,139
12/2/2012 5:45,79,78,67,73,80,75,74,78,42,140
12/2/2012 5:50,79,78,67,73,80,75,74,78,42,140
12/2/2012 5:55,79,79,67,73,80,75,74,78,42,141
12/2/2012 6:00,79,79,67,73,80,75,74,78,42,141
12/2/2012 6:05,79,79,67,73,80,75,74,78,42,141
12/2/2012 6:10,79,79,67,73,80,75,74,78,42,141
12/2/2012 6:15,79,79,67,73,80,No Data,74,78,42,141
12/2/2012 6:20,79,79,67,74,80,No Data,74,78,42,142
12/2/2012 6:25,79,79,67,74,80,No Data,74,78,42,142
12/2/2012 6:30,79,79,67,74,80,No Data,74,78,42,144
12/2/2012 6:35,79,79,67,74,80,76,74,78,42,145
12/2/2012 6:40,79,79,67,74,80,76,74,78,42,145
12/2/2012 6:45,79,79,67,74,80,76,74,78,42,146
12/2/2012 6:50,79,79,67,74,80,76,74,78,42,146
12/2/2012 6:55,79,79,67,74,80,76,74,78,42,147
12/2/2012 7:00,79,79,67,74,80,76,74,78,42,147
12/2/2012 7:05,79,79,67,74,80,76,74,78,42,147
12/2/2012 7:10,79,79,67,74,80,76,74,78,42,147
12/2/2012 7:15,79,79,67,74,80,76,74,78,42,146
12/2/2012 7:20,79,79,67,74,80,76,74,78,43,146
12/2/2012 7:25,79,79,67,74,80,76,74,78,43,145
12/2/2012 7:30,79,79,67,74,80,76,74,78,43,142
12/2/2012 7:35,79,79,67,74,80,76,74,78,43,141
12/2/2012 7:40,79,79,67,74,80,76,74,78,43,141
12/2/2012 7:45,79,79,67,74,80,76,74,78,43,140
12/2/2012 7:50,79,79,67,74,80,76,74,78,43,139
12/2/2012 7:55,79,79,67,74,80,76,74,78,43,139
12/2/2012 8:00,79,79,67,74,80,76,74,78,43,138
12/2/2012 8:05,79,79,67,74,80,76,74,78,43,136
12/2/2012 8:10,79,79,67,74,80,76,74,78,43,135
12/2/2012 8:15,79,79,67,74,80,76,74,78,43,134
12/2/2012 8:20,79,79,67,73,80,76,74,78,43,133
12/2/2012 8:25,79,79,67,73,80,76,74,78,43,133
12/2/2012 8:30,79,79,67,73,80,76,74,78,43,133
12/2/2012 8:35,79,78,67,74,80,76,74,78,43,133
12/2/2012 8:40,79,78,67,74,80,76,74,78,43,133
12/2/2012 8:45,79,78,67,74,80,76,74,78,43,133
12/2/2012 8:50,79,78,67,74,80,76,74,78,43,134
12/2/2012 8:55,79,78,67,74,80,76,74,78,43,134
12/2/2012 9:00,79,78,67,74,80,76,74,78,44,135
12/2/2012 9:05,78,78,67,74,80,76,74,78,44,135
12/2/2012 9:10,78,78,67,74,80,76,74,78,44,138
12/2/2012 9:15,78,78,67,74,80,76,74,78,44,138
12/2/2012 9:20,78,78,67,74,80,76,74,78,44,139
12/2/2012 9:25,78,78,67,74,80,75,74,78,43,139
12/2/2012 9:30,78,79,67,74,80,75,74,78,43,139
12/2/2012 9:35,78,79,67,74,80,75,74,78,43,140
12/2/2012 9:40,78,79,67,74,80,76,74,78,43,140
12/2/2012 9:45,78,79,67,74,80,76,74,78,43,140
12/2/2012 9:50,78,79,67,74,80,76,74,78,43,140
12/2/2012 9:55,78,79,67,74,80,76,74,78,43,140
12/2/2012 10:00,78,79,67,74,80,76,74,78,43,139
12/2/2012 10:05,78,79,67,74,80,76,74,78,43,139
12/2/2012 10:10,78,79,67,74,80,76,74,78,43,138
12/2/2012 10:15,78,79,67,74,80,76,74,78,43,138
12/2/2012 10:20,78,79,67,74,80,76,74,78,43,136
12/2/2012 10:25,78,79,67,74,80,76,74,78,43,135
12/2/2012 10:30,78,79,67,74,80,76,74,78,43,134
12/2/2012 10:35,78,79,67,74,80,76,74,78,43,133
12/2/2012 10:40,78,79,67,74,80,76,74,78,43,133
12/2/2012 10:45,78,79,67,74,80,76,74,78,43,132
12/2/2012 10:50,78,79,67,74,80,76,74,78,43,132
12/2/2012 10:55,78,79,67,74,80,76,74,78,44,132
12/2/2012 11:00,78,79,67,74,80,76,74,78,44,132
12/2/2012 11:05,79,79,67,74,80,76,74,78,44,132
12/2/2012 11:10,79,79,67,74,80,76,74,78,44,132
12/2/2012 11:15,79,79,67,74,80,76,74,78,44,133
12/2/2012 11:20,79,79,67,74,80,76,74,78,44,133
12/2/2012 11:25,79,79,67,74,80,76,74,78,44,134
12/2/2012 11:30,79,79,67,74,80,75,74,78,45,135
12/2/2012 11:35,79,79,67,74,80,75,74,78,45,136
12/2/2012 11:40,79,79,67,74,80,75,74,78,45,138
12/2/2012 11:45,79,79,67,74,80,75,74,78,45,138
12/2/2012 11:50,79,79,67,74,80,75,74,No Data,45,139
12/2/2012 11:55,79,79,67,74,80,75,74,No Data,46,140
12/2/2012 12:00,79,79,67,74,80,76,74,No Data,46,140
12/2/2012 12:05,79,79,67,74,80,76,74,78,46,140
12/2/2012 12:10,79,79,67,74,80,76,74,78,46,140
12/2/2012 12:15,79,79,67,74,80,76,74,78,46,140
12/2/2012 12:20,79,79,67,74,80,76,74,78,46,139
12/2/2012 12:25,79,79,67,74,80,76,74,78,45,139
12/2/2012 12:30,79,79,67,74,80,76,74,78,45,138
12/2/2012 12:35,79,79,67,75,80,76,74,78,45,136
12/2/2012 12:40,79,79,67,75,80,76,74,78,45,135
12/2/2012 12:45,79,79,67,75,80,No Data,74,78,45,134
