CONTROL,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building
INTERVAL,Apt 14 N,Apt 14 O,Apt 14 Q,Apt 14P,Apt 14R,Apt 18A,Apt 18E,Apt 18I,OUTDOOR SENSOR,System Temp MB
12/3/2012 0:00,79,78,68,73,78,76,73,No Data,48,121
12/3/2012 0:05,79,78,68,73,78,76,73,No Data,48,121
12/3/2012 0:10,79,78,68,73,78,76,73,No Data,48,122
12/3/2012 0:15,79,78,68,73,78,No Data,73,No Data,49,124
12/3/2012 0:20,79,78,68,73,78,76,73,No Data,49,125
12/3/2012 0:25,79,78,68,73,78,76,73,No Data,49,127
12/3/2012 0:30,79,78,68,73,78,76,73,No Data,49,128
12/3/2012 0:35,79,78,68,73,78,75,74,No Data,49,130
12/3/2012 0:40,79,78,68,73,78,75,74,78,49,131
12/3/2012 0:45,79,78,68,73,78,75,74,78,49,131
12/3/2012 0:50,79,78,68,73,78,76,74,78,49,131
12/3/2012 0:55,79,78,68,73,78,76,74,78,49,131
12/3/2012 1:00,79,78,68,73,78,76,74,78,49,131
12/3/2012 1:05,79,78,68,73,78,76,74,78,48,131
12/3/2012 1:10,79,78,68,73,78,76,74,78,49,130
12/3/2012 1:15,79,78,68,73,78,76,74,78,49,129
12/3/2012 1:20,79,78,68,73,78,76,74,78,49,129
12/3/2012 1:25,79,78,68,73,78,76,74,78,49,128
12/3/2012 1:30,79,78,68,73,78,76,74,78,49,128
12/3/2012 1:35,79,78,68,73,78,76,74,78,49,127
12/3/2012 1:40,79,78,68,73,78,76,74,78,49,126
12/3/2012 1:45,79,78,68,73,78,76,74,78,49,126
12/3/2012 1:50,79,78,68,73,78,76,74,78,49,125
12/3/2012 1:55,79,78,68,73,78,76,74,78,49,125
12/3/2012 2:00,79,78,68,73,78,76,74,78,48,124
12/3/2012 2:05,78,78,68,73,78,76,74,78,48,123
12/3/2012 2:10,78,78,68,73,78,76,74,78,48,123
12/3/2012 2:15,78,78,68,73,78,76,74,78,48,123
12/3/2012 2:20,78,78,68,73,78,76,74,78,48,122
12/3/2012 2:25,78,78,68,73,78,76,74,78,48,122
12/3/2012 2:30,78,78,68,73,78,No Data,74,78,49,122
