CONTROL,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building
INTERVAL,Apt 14 N,Apt 14 O,Apt 14 Q,Apt 14P,Apt 14R,Apt 18A,Apt 18E,Apt 18I,OUTDOOR SENSOR,System Temp MB
12/6/2012 0:00,77,78,67,70,76,76,69,76,37,118
12/6/2012 0:05,77,78,67,70,76,76,69,76,37,118
12/6/2012 0:10,77,78,67,70,76,76,69,76,37,117
12/6/2012 0:15,77,78,67,70,76,76,69,76,36,117
12/6/2012 0:20,77,78,67,70,76,No Data,69,76,36,116
12/6/2012 0:25,77,78,67,70,76,75,69,76,36,116
12/6/2012 0:30,77,78,67,70,76,75,70,76,36,116
12/6/2012 0:35,77,78,67,70,75,75,70,76,36,115
12/6/2012 0:40,77,78,67,70,75,75,70,76,36,115
12/6/2012 0:45,77,78,67,69,75,75,70,76,36,114
12/6/2012 0:50,77,78,67,69,75,75,70,76,36,114
12/6/2012 0:55,77,78,67,69,75,74,70,76,36,113
12/6/2012 1:00,77,78,67,69,75,74,70,76,36,113
12/6/2012 1:05,77,77,67,69,75,74,70,76,36,113
12/6/2012 1:10,77,77,67,69,75,74,70,76,36,112
12/6/2012 1:15,77,77,67,69,75,74,70,76,36,112
12/6/2012 1:20,77,77,67,69,75,74,70,76,36,112
12/6/2012 1:25,77,77,67,69,75,74,70,76,36,111
12/6/2012 1:30,77,77,67,69,75,74,70,76,36,111
12/6/2012 1:35,77,77,67,69,75,74,70,76,36,111
12/6/2012 1:40,77,77,67,69,75,74,70,76,36,110
12/6/2012 1:45,77,77,67,68,75,74,70,76,37,110
12/6/2012 1:50,77,77,67,68,74,74,70,76,37,110
12/6/2012 1:55,77,77,67,68,74,74,70,76,36,109
12/6/2012 2:00,77,77,67,68,74,74,70,76,37,109
12/6/2012 2:05,77,77,67,68,74,74,70,76,37,109
12/6/2012 2:10,77,77,67,68,74,74,70,76,37,108
12/6/2012 2:15,77,77,67,68,74,74,70,76,36,108
12/6/2012 2:20,77,77,67,68,74,74,70,76,36,108
12/6/2012 2:25,77,77,67,68,74,74,70,76,36,108
12/6/2012 2:30,77,77,67,68,74,74,70,76,36,108
12/6/2012 2:35,77,77,67,68,74,74,70,76,36,107
12/6/2012 2:40,77,77,67,68,74,73,70,76,36,107
12/6/2012 2:45,77,77,67,67,74,73,70,75,36,107
12/6/2012 2:50,77,77,67,67,74,73,70,75,36,107
12/6/2012 2:55,77,77,67,67,74,73,70,75,36,106
12/6/2012 3:00,77,77,67,67,74,73,70,75,36,106
12/6/2012 3:05,76,77,67,67,74,73,70,75,36,106
12/6/2012 3:10,76,77,67,67,74,73,70,75,36,106
