CONTROL,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building
INTERVAL,Apt 14 N,Apt 14 O,Apt 14 Q,Apt 14P,Apt 14R,Apt 18A,Apt 18E,Apt 18I,OUTDOOR SENSOR,System Temp MB
12/10/2012 0:00,78,78,67,74,77,74,74,76,43,122
12/10/2012 0:05,78,78,67,74,77,74,74,76,44,123
12/10/2012 0:10,78,78,67,74,77,74,74,76,44,124
12/10/2012 0:15,78,78,67,74,77,74,74,76,44,125
12/10/2012 0:20,78,78,67,74,77,74,74,76,44,126
12/10/2012 0:25,78,78,67,74,77,74,74,76,44,127
12/10/2012 0:30,78,78,67,74,77,74,74,76,44,128
12/10/2012 0:35,78,78,67,74,77,74,74,76,44,129
12/10/2012 0:40,78,78,67,74,77,74,74,76,44,130
12/10/2012 0:45,78,78,67,74,77,74,74,76,44,131
12/10/2012 0:50,78,78,67,74,77,74,74,76,44,132
12/10/2012 0:55,78,78,67,74,77,74,74,76,44,132
12/10/2012 1:00,78,78,67,73,77,74,74,76,44,131
12/10/2012 1:05,78,78,67,73,77,74,74,76,44,131
12/10/2012 1:10,78,78,67,73,77,74,74,76,44,131
12/10/2012 1:15,78,78,67,73,77,74,74,76,45,130
12/10/2012 1:20,78,78,67,73,77,74,74,76,45,130
12/10/2012 1:25,78,78,67,73,77,74,74,76,45,129
12/10/2012 1:30,78,78,67,73,77,74,74,76,45,128
12/10/2012 1:35,78,78,67,73,77,74,74,76,44,128
12/10/2012 1:40,78,78,67,73,77,74,74,76,44,127
12/10/2012 1:45,78,78,67,73,77,74,74,76,44,126
12/10/2012 1:50,78,78,67,73,77,74,74,76,44,126
12/10/2012 1:55,78,78,67,73,77,74,74,76,44,125
12/10/2012 2:00,78,78,67,72,77,74,74,76,44,125
12/10/2012 2:05,78,78,67,72,77,74,74,76,44,124
12/10/2012 2:10,78,78,67,72,77,74,74,76,44,123
12/10/2012 2:15,78,78,67,72,77,74,74,76,44,123
12/10/2012 2:20,78,78,67,72,77,74,74,76,44,122
12/10/2012 2:25,78,78,67,72,77,74,74,76,45,122
12/10/2012 2:30,78,78,67,72,77,74,74,76,45,121
12/10/2012 2:35,78,78,67,72,77,74,74,76,45,121
12/10/2012 2:40,78,78,67,72,77,74,74,76,45,120
12/10/2012 2:45,78,78,67,72,77,74,74,76,45,120
12/10/2012 2:50,78,78,67,72,77,74,74,76,45,120
12/10/2012 2:55,78,78,67,72,77,74,74,76,45,120
12/10/2012 3:00,78,78,67,72,77,74,74,76,45,120
12/10/2012 3:05,78,77,67,72,77,74,74,76,45,121
12/10/2012 3:10,78,77,67,72,77,74,74,76,45,122
12/10/2012 3:15,78,77,67,72,77,74,74,76,45,123
12/10/2012 3:20,78,77,67,72,77,74,74,76,45,125
