CONTROL,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building
INTERVAL,Apt 14 N,Apt 14 O,Apt 14 Q,Apt 14P,Apt 14R,Apt 18A,Apt 18E,Apt 18I,OUTDOOR SENSOR,System Temp MB
12/9/2012 0:00,77,77,67,74,77,75,72,76,47,123
12/9/2012 0:05,77,77,67,74,77,75,72,76,47,124
12/9/2012 0:10,77,77,67,74,77,75,72,76,48,125
12/9/2012 0:15,77,77,67,74,77,75,72,76,48,126
12/9/2012 0:20,77,77,67,74,77,75,72,76,48,127
12/9/2012 0:25,77,77,67,74,77,75,72,76,48,129
12/9/2012 0:30,77,77,67,74,77,75,72,76,48,130
12/9/2012 0:35,77,77,67,74,77,75,72,76,48,131
12/9/2012 0:40,77,77,67,74,77,75,72,76,48,132
12/9/2012 0:45,77,77,67,74,77,75,72,76,48,133
12/9/2012 0:50,77,77,67,75,77,75,72,76,48,133
12/9/2012 0:55,77,77,67,75,77,75,72,76,48,133
12/9/2012 1:00,77,77,67,75,77,75,72,76,48,133
12/9/2012 1:05,77,77,67,75,77,75,72,76,48,132
12/9/2012 1:10,77,77,67,75,77,75,72,76,48,132
12/9/2012 1:15,77,77,67,75,77,75,72,76,48,131
12/9/2012 1:20,77,77,67,75,77,75,72,76,48,130
12/9/2012 1:25,77,77,67,75,77,75,72,76,48,130
12/9/2012 1:30,77,77,67,75,77,75,72,76,48,129
12/9/2012 1:35,77,77,67,75,77,75,72,76,48,129
12/9/2012 1:40,77,77,67,75,77,75,72,76,48,128
12/9/2012 1:45,77,77,67,75,77,75,72,76,48,127
12/9/2012 1:50,77,77,67,75,77,75,72,76,48,127
12/9/2012 1:55,77,77,67,75,77,75,72,76,48,126
12/9/2012 2:00,77,77,67,75,77,75,72,76,48,125
12/9/2012 2:05,77,77,67,75,77,75,72,76,48,125
12/9/2012 2:10,77,77,67,75,77,75,72,76,48,124
12/9/2012 2:15,77,77,67,75,77,75,72,76,48,124
12/9/2012 2:20,77,77,67,75,77,75,72,76,48,123
12/9/2012 2:25,77,77,67,75,77,75,72,76,48,123
12/9/2012 2:30,77,77,67,75,77,75,72,76,49,122
12/9/2012 2:35,77,77,67,75,77,75,72,76,49,122
12/9/2012 2:40,77,77,67,75,77,75,72,76,49,121
12/9/2012 2:45,77,77,67,75,77,75,72,76,49,121
12/9/2012 2:50,77,77,67,75,77,75,72,76,49,120
12/9/2012 2:55,77,77,67,75,77,75,72,76,49,120
12/9/2012 3:00,77,77,67,75,77,75,72,76,49,120
12/9/2012 3:05,77,77,67,75,77,75,72,76,49,121
12/9/2012 3:10,77,77,67,75,76,75,72,76,49,122
12/9/2012 3:15,77,77,67,75,76,75,72,76,49,124
12/9/2012 3:20,77,77,67,75,76,75,72,76,49,125
12/9/2012 3:25,77,77,67,75,76,75,72,76,49,127
12/9/2012 3:30,77,77,67,75,76,75,72,76,49,128
12/9/2012 3:35,77,77,67,75,76,75,72,76,49,130
12/9/2012 3:40,77,77,67,75,77,75,72,76,49,130
12/9/2012 3:45,77,77,67,75,77,75,72,76,49,131
12/9/2012 3:50,77,77,67,75,77,75,72,76,49,131
12/9/2012 3:55,77,77,67,75,77,75,72,76,49,131
12/9/2012 4:00,77,77,67,75,77,75,72,76,49,130
12/9/2012 4:05,77,77,67,75,77,75,72,76,49,130
12/9/2012 4:10,77,77,67,75,77,75,72,76,49,129
12/9/2012 4:15,77,77,67,75,77,75,72,76,49,129
