CONTROL,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building
INTERVAL,Apt 14 N,Apt 14 O,Apt 14 Q,Apt 14P,Apt 14R,Apt 18A,Apt 18E,Apt 18I,OUTDOOR SENSOR,System Temp MB
12/13/2012 0:00,77,77,69,73,77,No Data,76,75,40,127
12/13/2012 0:05,77,77,69,73,77,No Data,76,75,40,128
12/13/2012 0:10,77,77,69,73,77,No Data,No Data,75,40,129
12/13/2012 0:15,77,77,69,73,77,No Data,No Data,75,40,130
12/13/2012 0:20,77,77,69,73,77,No Data,No Data,75,40,131
12/13/2012 0:25,77,77,69,73,77,No Data,No Data,75,40,132
12/13/2012 0:30,77,77,69,73,77,No Data,No Data,75,40,133
12/13/2012 0:35,77,77,69,73,77,No Data,No Data,No Data,40,134
12/13/2012 0:40,77,77,69,73,77,No Data,No Data,No Data,40,134
12/13/2012 0:45,77,77,69,73,77,No Data,No Data,No Data,40,135
12/13/2012 0:50,77,77,69,73,77,No Data,No Data,75,40,135
12/13/2012 0:55,77,77,69,73,77,No Data,76,75,40,135
12/13/2012 1:00,77,77,69,73,77,75,76,75,40,134
12/13/2012 1:05,77,77,69,73,77,75,76,75,40,133
12/13/2012 1:10,77,77,69,73,77,75,76,75,40,133
12/13/2012 1:15,77,77,69,73,77,75,76,75,40,132
12/13/2012 1:20,77,77,69,73,77,75,76,75,40,131
12/13/2012 1:25,77,77,69,73,77,75,76,75,40,130
12/13/2012 1:30,77,77,69,73,77,75,76,75,39,130
12/13/2012 1:35,77,77,69,73,77,75,76,75,39,129
12/13/2012 1:40,77,77,69,73,77,75,76,75,39,128
12/13/2012 1:45,77,77,69,73,77,75,76,75,39,128
12/13/2012 1:50,77,77,69,73,77,No Data,76,75,39,127
12/13/2012 1:55,77,77,69,73,77,No Data,76,75,39,126
12/13/2012 2:00,77,77,69,73,77,75,76,75,39,126
12/13/2012 2:05,77,77,69,73,77,75,76,75,39,125
12/13/2012 2:10,77,77,69,73,77,75,76,75,39,125
12/13/2012 2:15,77,77,69,73,77,74,76,75,39,125
12/13/2012 2:20,77,77,69,73,77,74,76,75,39,125
